image_id|answer_type|question|answer
COCO_train2014_000000523968.jpg|absurd| বিচনা চাদৰবোৰ কি ৰঙৰ ?|প্ৰযোজ্য নহয়
COCO_train2014_000000222691.jpg|absurd| চৰাইটোৰ চকুৰ ৰং কি ?|প্ৰযোজ্য নহয়
COCO_train2014_000000035551.jpg|absurd| কি ৰঙৰ চাৰ্ট পিন্ধিছে মানুহজনে ?|প্ৰযোজ্য নহয়
COCO_train2014_000000064360.jpg|absurd| এই ছবিখনত থকা মানুহবোৰে কি কৰি আছে ?|প্ৰযোজ্য নহয়
COCO_train2014_000000412289.jpg|absurd| কিহৰ সন্মুখত বহি আছে চকীখন ?|প্ৰযোজ্য নহয়
COCO_train2014_000000222691.jpg|absurd| মানুহজনে কি কাম কৰি আছে ?|প্ৰযোজ্য নহয়
COCO_train2014_000000412289.jpg|absurd| বিচনাখন কি ধৰণৰ সামগ্ৰীৰে তৈয়াৰ কৰা হয় ?|প্ৰযোজ্য নহয়
COCO_train2014_000000064360.jpg|absurd| বাওঁফালৰ চাৰ্টত থকা ব্যক্তিজনৰ ৰং কি ?|প্ৰযোজ্য নহয়
COCO_train2014_000000064360.jpg|absurd| বাওঁফালে থকা কাপটোত কি তৰল পদাৰ্থ আছে ?|প্ৰযোজ্য নহয়
COCO_train2014_000000035551.jpg|absurd| কুকুৰটোৱে কি ৰঙৰ কলাৰ পিন্ধিছে ?|প্ৰযোজ্য নহয়
COCO_train2014_000000035551.jpg|absurd| মাছমৰীয়াজন বহি থকা বেঞ্চবোৰ কি ৰঙৰ ?|প্ৰযোজ্য নহয়
COCO_train2014_000000222691.jpg|absurd| ব্যক্তিজনে কি ৰঙৰ কাপোৰ পিন্ধিছে ?|প্ৰযোজ্য নহয়
COCO_train2014_000000523968.jpg|absurd| চৰাইটোৱে থিয় হৈ থকা ডোঙাটো কি ৰঙৰ ?|প্ৰযোজ্য নহয়
COCO_train2014_000000523968.jpg|absurd| ফ্ৰিছবি কি ৰঙৰ  ?|প্ৰযোজ্য নহয়
COCO_train2014_000000412289.jpg|absurd| মাউছ পেডৰ ৰং কি ?|প্ৰযোজ্য নহয়
COCO_train2014_000000523968.jpg|color| স্কিয়ৰৰ পেণ্টৰ ৰং কি ?|নীলা
COCO_train2014_000000064360.jpg|color|হাতীৰ কাণৰ ডগাটো কি ৰঙৰ ?|গোলপীয়া
COCO_train2014_000000035551.jpg|color| দ্বিতীয়খন বক্স গাড়ী কি ৰঙৰ ?|নীলা
COCO_train2014_000000412289.jpg|color| বাৰাণ্ডাৰ ৰেলিং কি ৰঙৰ ?|বগা
COCO_train2014_000000035551.jpg|counting| কিমানখন ৰেল দেখা যায় ?|দুই
COCO_train2014_000000412289.jpg|counting| কিমান গাড়ী আছে ?|এক
COCO_train2014_000000412289.jpg|object_presence|ফটোত গাড়ী আছে নেকি ?|হয়
COCO_train2014_000000222691.jpg|object_presence|ছবিখনত কোনো চৰাই আছে নেকি ?|নহয়
COCO_train2014_000000222691.jpg|object_presence|ছবিখনত কোনো জীৱ-জন্তু আছে নেকি ?|হয়
COCO_train2014_000000064360.jpg|object_presence|ছবিখনত ভেড়া আছে নেকি ?|নহয়
COCO_train2014_000000035551.jpg|object_presence|ফটোখনত কিবা বাহন আছে নেকি ?|হয়
COCO_train2014_000000222691.jpg|object_presence|ফটোখনত বাহন আছে নেকি ?|নহয়
COCO_train2014_000000412289.jpg|object_presence|ছবিখনত মোবাইল আছে নেকি ?|নহয়
COCO_train2014_000000523968.jpg|object_presence|ফটোখনত ভেড়া আছে নেকি ?|নহয়
COCO_train2014_000000412289.jpg|object_presence|ছবিখনত লেপটপ আছে নেকি ?|হয়
COCO_train2014_000000035551.jpg|object_presence|ছবিখনত মটৰ চাইকেল আছে নেকি ?|নহয়
COCO_train2014_000000222691.jpg|object_presence|ফটোখনত গৰু আছে নেকি ?|নহয়
COCO_train2014_000000064360.jpg|object_presence|ফটোখনত হাতী আছে নেকি ?|হয়
COCO_train2014_000000222691.jpg|object_presence|ছবিখনত বাটি আছে নেকি ?|হয়
COCO_train2014_000000222691.jpg|object_presence|ফটোখনত জেব্ৰা আছে নেকি ?|নহয়
COCO_train2014_000000064360.jpg|object_presence|ছবিখনত কোনো জন্তু আছে নেকি ?|হয়
COCO_train2014_000000222691.jpg|object_presence|ফটোখনত কিবা আচবাব আছে নেকি ?|হয়
COCO_train2014_000000035551.jpg|object_presence|ফটোখনত ৰেল আছে নেকি ?|হয়
COCO_train2014_000000064360.jpg|object_presence|ফটোখনত বাহন আছে নেকি ?|নহয়
COCO_train2014_000000222691.jpg|object_presence|ফটোখনত ৰিম’ট আছে নেকি ?|হয়
COCO_train2014_000000523968.jpg|object_presence|ছবিখনত কোনো মানুহ আছে নেকি ?|হয়
COCO_train2014_000000035551.jpg|object_presence|ছবিখনত কোনো জন্তু আছে নেকি ?|নহয়
COCO_train2014_000000222691.jpg|object_presence|ফটোখনত কোনো কুকুৰ আছে নেকি ?|হয়
